item_id,order_id,product_id,quantity,price
1,52,28,3,183
2,85,31,2,116
3,100,8,2,440
4,53,39,3,228
5,23,26,4,91
6,16,58,4,497
7,57,34,1,64
8,39,54,4,160
9,53,54,3,206
10,42,3,2,338
11,58,59,1,280
12,39,50,1,460
13,14,12,2,469
14,95,1,4,206
15,5,54,2,87
16,35,44,4,490
17,87,5,2,146
18,93,30,3,460
19,75,30,4,488
20,18,59,3,338
21,76,57,1,303
22,9,17,2,245
23,74,48,1,135
24,58,47,1,371
25,17,23,1,59
26,7,15,1,54
27,46,37,2,172
28,13,21,1,379
29,40,14,2,402
30,42,2,2,167
31,9,11,3,343
32,50,51,4,446
33,27,39,4,208
34,66,38,2,352
35,5,60,3,277
36,29,34,2,414
37,37,38,2,265
38,38,50,2,485
39,83,34,3,233
40,8,18,4,64
41,65,30,3,206
42,86,15,1,185
43,17,27,3,310
44,71,51,3,206
45,89,34,3,96
46,45,52,3,373
47,4,57,4,381
48,36,38,1,222
49,70,33,4,179
50,31,24,4,460
51,19,15,3,144
52,61,60,2,164
53,54,30,2,292
54,39,55,4,469
55,91,42,4,341
56,74,51,3,331
57,90,17,4,348
58,19,5,3,332
59,39,29,2,118
60,67,4,2,197
61,45,10,1,60
62,13,56,2,303
63,92,17,4,379
64,58,10,2,409
65,20,17,3,87
66,92,60,2,183
67,72,20,1,249
68,61,24,2,72
69,39,5,3,352
70,1,34,3,395
71,3,6,4,351
72,77,53,2,412
73,92,2,3,445
74,62,13,1,267
75,63,43,4,190
76,25,43,1,153
77,56,48,2,495
78,33,11,2,259
79,38,51,2,160
80,6,47,4,153
81,58,57,3,365
82,44,23,4,220
83,45,55,1,405
84,32,16,4,373
85,45,31,1,182
86,61,11,4,425
87,47,54,3,342
88,21,16,1,377
89,80,8,2,176
90,85,4,2,155
91,75,40,4,141
92,36,4,2,336
93,99,56,1,427
94,19,25,2,442
95,20,3,3,100
96,57,32,3,78
97,18,3,4,345
98,47,27,1,346
99,49,29,3,263
100,14,32,3,316
101,15,50,1,456
102,31,58,2,306
103,1,51,2,351
104,54,19,4,150
105,3,21,2,454
106,16,5,1,395
107,87,18,3,159
108,57,28,2,469
109,75,42,4,231
110,12,22,2,362
111,74,21,1,50
112,96,6,4,368
113,16,1,2,487
114,72,5,4,104
115,76,41,1,420
116,24,12,3,473
117,28,26,1,448
118,8,46,1,198
119,92,34,1,480
120,36,49,1,358
121,90,14,3,186
122,8,26,3,251
123,58,45,4,485
124,60,27,2,362
125,50,9,3,166
126,28,26,3,203
127,92,57,2,474
128,41,47,3,340
129,100,57,1,112
130,64,22,1,293
131,27,47,2,74
132,63,56,4,139
133,17,30,4,124
134,73,43,2,343
135,33,48,2,435
136,84,17,1,440
137,77,26,4,259
138,92,36,3,467
139,29,1,1,396
140,13,8,2,66
141,46,49,4,177
142,35,35,3,476
143,6,52,3,492
144,82,15,1,413
145,69,47,4,300
146,47,56,4,228
147,25,22,2,231
148,66,14,4,201
149,10,26,4,74
150,56,28,1,229
151,30,23,4,247
152,5,14,3,393
153,33,24,1,210
154,65,2,1,226
155,18,45,2,334
156,96,26,4,112
157,49,14,2,199
158,11,59,3,203
159,85,56,1,205
160,26,51,1,419
161,63,7,1,98
162,89,3,3,386
163,86,47,3,133
164,59,23,2,410
165,27,46,2,226
166,49,43,2,197
167,77,47,4,167
168,33,60,1,391
169,98,45,1,112
170,99,18,2,238
171,1,58,1,409
172,21,38,2,98
173,55,35,4,376
174,6,51,4,306
175,92,15,3,273
176,81,25,4,190
177,69,55,2,264
178,95,37,4,484
179,5,28,3,428
180,3,10,1,489
181,53,39,2,260
182,23,57,1,367
183,53,17,3,81
184,37,39,3,207
185,74,22,3,334
186,74,26,1,354
187,83,44,1,478
188,17,25,1,335
189,85,17,1,193
190,78,13,3,473
191,73,20,3,68
192,1,25,2,67
193,51,4,2,306
194,45,10,1,127
195,77,3,4,420
196,4,41,4,224
197,62,45,3,243
198,65,18,3,162
199,32,47,3,163
200,34,36,2,271
