order_id,customer_id,order_date,payment_method,order_amount
1,63,2023-07-30,UPI,440
2,182,2023-05-30,COD,3928
3,55,2023-02-06,COD,2068
4,115,2023-12-18,Card,803
5,168,2023-11-08,Card,4513
6,143,2023-12-27,Card,2529
7,149,2023-02-28,Card,1900
8,175,2023-05-11,Card,4748
9,53,2023-07-21,COD,955
10,137,2023-08-31,UPI,1912
11,180,2023-02-04,Card,2966
12,57,2023-04-03,Card,3742
13,117,2023-07-26,UPI,282
14,154,2023-12-19,Card,3212
15,169,2023-11-28,UPI,4592
16,35,2023-11-01,UPI,1617
17,63,2023-12-16,COD,1456
18,25,2023-08-01,NetBanking,2274
19,90,2023-06-08,COD,3729
20,75,2023-01-24,NetBanking,3728
21,38,2023-10-20,NetBanking,4196
22,130,2023-01-04,NetBanking,3339
23,135,2023-08-08,Card,3791
24,162,2023-12-30,COD,118
25,91,2023-01-20,NetBanking,3503
26,17,2023-06-01,UPI,4779
27,128,2023-02-19,Card,4651
28,171,2023-06-26,COD,3104
29,187,2023-04-06,NetBanking,1232
30,108,2023-04-15,UPI,3439
31,179,2023-09-07,COD,3411
32,182,2023-04-27,COD,3472
33,152,2023-12-20,Card,1087
34,25,2023-08-16,COD,3421
35,199,2023-03-07,Card,4715
36,180,2023-12-01,NetBanking,273
37,198,2023-09-19,Card,3841
38,88,2023-10-22,UPI,3152
39,161,2023-08-31,Card,826
40,177,2023-07-05,UPI,3860
41,29,2023-09-03,Card,1975
42,63,2023-05-05,COD,4133
43,150,2023-09-25,NetBanking,1089
44,154,2023-05-11,UPI,3844
45,156,2023-08-25,Card,2786
46,114,2023-01-18,Card,519
47,49,2023-02-09,Card,693
48,199,2023-01-21,COD,1874
49,81,2023-08-13,COD,2559
50,84,2023-12-21,UPI,1035
51,105,2023-10-09,UPI,3908
52,177,2023-01-08,COD,431
53,148,2023-04-10,UPI,3549
54,118,2023-08-28,NetBanking,2802
55,86,2023-03-28,NetBanking,4106
56,63,2023-10-25,COD,3968
57,189,2023-01-14,UPI,4300
58,104,2023-11-30,Card,301
59,49,2023-01-02,NetBanking,2597
60,71,2023-10-20,COD,1942
61,1,2023-11-21,UPI,1966
62,141,2023-02-10,COD,2096
63,179,2023-11-14,Card,1009
64,123,2023-11-12,NetBanking,4405
65,184,2023-04-21,COD,4758
66,62,2023-01-14,COD,3289
67,32,2023-08-19,COD,870
68,158,2023-03-25,Card,3255
69,29,2023-05-10,COD,2601
70,49,2023-08-19,Card,2814
71,173,2023-11-22,Card,4824
72,30,2023-05-25,Card,3685
73,144,2023-12-11,NetBanking,1728
74,168,2023-01-28,NetBanking,486
75,19,2023-03-07,COD,3521
76,18,2023-06-12,COD,4108
77,1,2023-08-17,NetBanking,4193
78,78,2023-09-18,UPI,4463
79,115,2023-06-13,NetBanking,2566
80,175,2023-10-28,Card,2382
81,194,2023-10-30,NetBanking,1956
82,113,2023-10-14,Card,2098
83,114,2023-01-10,COD,1336
84,166,2023-07-14,UPI,4769
85,179,2023-04-28,COD,4244
86,63,2023-09-27,Card,1250
87,132,2023-03-21,Card,4418
88,129,2023-04-03,Card,1531
89,8,2023-09-23,UPI,1919
90,157,2023-11-28,NetBanking,2424
91,55,2023-12-16,COD,1230
92,103,2023-12-27,COD,2758
93,131,2023-09-14,NetBanking,3600
94,32,2023-05-13,COD,474
95,10,2023-10-03,UPI,2220
96,110,2023-09-21,COD,4120
97,162,2023-06-20,Card,2121
98,124,2023-01-01,NetBanking,3805
99,87,2023-11-09,UPI,3359
100,55,2023-03-05,NetBanking,3535
101,32,2023-10-11,UPI,1989
102,178,2023-05-01,Card,1923
103,135,2023-04-17,NetBanking,1574
104,93,2023-06-24,COD,2342
105,8,2023-07-23,UPI,3343
106,65,2023-06-14,NetBanking,3234
107,57,2023-11-01,COD,2170
108,67,2023-04-30,NetBanking,459
109,187,2023-02-13,NetBanking,2141
110,72,2023-11-08,NetBanking,1241
111,54,2023-06-05,UPI,1735
112,67,2023-07-26,COD,4100
113,51,2023-04-18,Card,2043
114,97,2023-09-08,UPI,4874
115,92,2023-11-30,UPI,3461
116,8,2023-05-10,UPI,3080
117,162,2023-10-20,Card,106
118,35,2023-01-20,COD,3367
119,96,2023-10-09,COD,1691
120,88,2023-10-12,COD,3364
121,78,2023-01-01,NetBanking,2706
122,32,2023-04-29,NetBanking,3319
123,120,2023-02-04,NetBanking,3373
124,46,2023-07-17,Card,1013
125,144,2023-09-02,NetBanking,2111
126,196,2023-02-28,Card,1542
127,165,2023-11-21,COD,3154
128,182,2023-06-10,NetBanking,3646
129,142,2023-06-28,NetBanking,4321
130,55,2023-07-25,UPI,3028
131,176,2023-01-12,Card,1929
132,7,2023-10-03,COD,675
133,74,2023-06-30,UPI,1029
134,7,2023-08-30,UPI,3859
135,161,2023-08-04,COD,3799
136,151,2023-09-08,UPI,1563
137,85,2023-10-26,Card,3375
138,147,2023-05-06,Card,1154
139,112,2023-08-05,NetBanking,2000
140,125,2023-11-02,UPI,1557
141,147,2023-10-12,NetBanking,1499
142,36,2023-07-04,UPI,3515
143,29,2023-02-08,Card,542
144,188,2023-08-11,Card,3750
145,82,2023-07-03,Card,4752
146,2,2023-06-27,UPI,1278
147,129,2023-10-21,Card,4558
148,47,2023-12-06,UPI,1357
149,197,2023-05-31,NetBanking,3734
150,148,2023-05-06,UPI,1941
151,11,2023-10-28,NetBanking,2409
152,130,2023-11-04,UPI,1010
153,195,2023-12-02,NetBanking,4440
154,119,2023-08-22,Card,4737
155,140,2023-01-08,NetBanking,4109
156,20,2023-12-07,Card,2269
157,5,2023-05-09,Card,2272
158,37,2023-09-21,NetBanking,223
159,166,2023-06-06,UPI,3258
160,137,2023-12-18,UPI,885
161,53,2023-12-24,COD,2516
162,172,2023-01-05,UPI,896
163,99,2023-03-27,COD,4272
164,86,2023-06-24,UPI,4254
165,108,2023-10-17,UPI,2036
166,24,2023-07-12,Card,2256
167,81,2023-11-07,COD,3907
168,158,2023-04-29,UPI,1401
169,120,2023-08-06,COD,4263
170,59,2023-04-24,Card,3240
171,128,2023-05-25,Card,3336
172,114,2023-01-26,COD,2452
173,115,2023-05-16,Card,2032
174,14,2023-10-30,NetBanking,2821
175,9,2023-08-20,NetBanking,464
176,40,2023-03-17,Card,2490
177,194,2023-11-24,NetBanking,1046
178,25,2023-12-11,UPI,1477
179,103,2023-10-29,COD,1539
180,22,2023-10-16,UPI,3280
181,4,2023-01-01,COD,4957
182,154,2023-05-27,Card,440
183,186,2023-10-14,UPI,3089
184,29,2023-05-22,Card,482
185,109,2023-02-22,Card,1656
186,98,2023-10-31,COD,399
187,37,2023-03-10,COD,238
188,75,2023-12-27,COD,458
189,70,2023-03-31,UPI,1622
190,146,2023-08-08,NetBanking,3556
191,128,2023-07-11,COD,1727
192,85,2023-03-04,COD,1403
193,42,2023-03-14,UPI,1234
194,100,2023-06-10,COD,2286
195,41,2023-06-18,UPI,3270
196,166,2023-03-30,Card,3935
197,34,2023-06-25,COD,2251
198,17,2023-09-26,COD,1337
199,165,2023-03-14,Card,3835
200,153,2023-09-02,Card,2934
201,122,2023-03-18,Card,4360
202,76,2023-06-08,COD,1098
203,87,2023-11-20,NetBanking,2667
204,117,2023-04-08,NetBanking,1407
205,106,2023-04-12,NetBanking,756
206,86,2023-05-12,COD,2760
207,27,2023-04-12,Card,2311
208,57,2023-01-19,COD,2009
209,31,2023-03-23,Card,3830
210,134,2023-10-06,COD,2146
211,168,2023-12-05,COD,3262
212,98,2023-12-31,Card,1240
213,12,2023-11-27,NetBanking,366
214,53,2023-05-09,Card,1945
215,199,2023-12-10,UPI,1808
216,138,2023-11-06,UPI,3730
217,173,2023-03-30,Card,3311
